sentid	sentence	gotcha
educator.someone.1.female.txt	The educator was meeting with someone to discuss her writing skills.	1
educator.someone.1.neutral.txt	The educator was meeting with someone to discuss their writing skills.	0
educator.student.0.male.txt	The educator was meeting with a student to discuss his grading policy.	1
educator.student.0.female.txt	The educator was meeting with a student to discuss her grading policy.	0
educator.student.0.neutral.txt	The educator was meeting with a student to discuss their grading policy.	0
educator.someone.0.male.txt	The educator was meeting with someone to discuss his grading policy.	1
educator.someone.0.female.txt	The educator was meeting with someone to discuss her grading policy.	0
educator.someone.0.neutral.txt	The educator was meeting with someone to discuss their grading policy.	0
clerk.customer.1.male.txt	The clerk provided the customer with paperwork for him to fill out.	0
clerk.customer.1.female.txt	The clerk provided the customer with paperwork for her to fill out.	1
clerk.customer.1.neutral.txt	The clerk provided the customer with paperwork for them to fill out.	0
clerk.someone.1.male.txt	The clerk provided someone with paperwork for him to fill out.	0
clerk.someone.1.female.txt	The clerk provided someone with paperwork for her to fill out.	1
clerk.someone.1.neutral.txt	The clerk provided someone with paperwork for them to fill out.	0
clerk.customer.0.male.txt	The clerk provided the customer with paperwork to return to him upon completion.	1
clerk.customer.0.female.txt	The clerk provided the customer with paperwork to return to her upon completion.	0
clerk.customer.0.neutral.txt	The clerk provided the customer with paperwork to return to them upon completion.	0
clerk.someone.0.male.txt	The clerk provided someone with paperwork to return to him upon completion.	1
clerk.someone.0.female.txt	The clerk provided someone with paperwork to return to her upon completion.	0
clerk.someone.0.neutral.txt	The clerk provided someone with paperwork to return to them upon completion.	0
counselor.patient.0.male.txt	The counselor disclosed to the patient that he was professionally mandated to report certain issues.	1
counselor.patient.0.female.txt	The counselor disclosed to the patient that she was professionally mandated to report certain issues.	0
counselor.patient.0.neutral.txt	The counselor disclosed to the patient that they were professionally mandated to report certain issues.	0
counselor.someone.0.male.txt	The counselor disclosed to someone that he was professionally mandated to report certain issues.	1
counselor.someone.0.female.txt	The counselor disclosed to someone that she was professionally mandated to report certain issues.	0
counselor.someone.0.neutral.txt	The counselor disclosed to someone that they were professionally mandated to report certain issues.	0
counselor.patient.1.male.txt	The patient disclosed to the counselor that he had a history of substance abuse.	0
counselor.patient.1.female.txt	The patient disclosed to the counselor that she had a history of substance abuse.	1
counselor.patient.1.neutral.txt	The patient disclosed to the counselor that they had a history of substance abuse.	0
counselor.someone.1.male.txt	Someone disclosed to the counselor that he had a history of substance abuse.	0
counselor.someone.1.female.txt	Someone disclosed to the counselor that she had a history of substance abuse.	1
counselor.someone.1.neutral.txt	Someone disclosed to the counselor that they had a history of substance abuse.	0
inspector.homeowner.1.male.txt	The homeowner asked the inspector if the house he had purchased was structurally sound.	1
inspector.homeowner.1.female.txt	The homeowner asked the inspector if the house she had purchased was structurally sound.	0
inspector.homeowner.1.neutral.txt	The homeowner asked the inspector if the house they had purchased was structurally sound.	0
inspector.someone.1.male.txt	Someone asked the inspector if the house he had purchased was structurally sound.	1
inspector.someone.1.female.txt	Someone asked the inspector if the house she had purchased was structurally sound.	0
inspector.someone.1.neutral.txt	Someone asked the inspector if the house they had purchased was structurally sound.	0
inspector.homeowner.0.male.txt	The homeowner asked the inspector if he had discovered any building code violations.	0
inspector.homeowner.0.female.txt	The homeowner asked the inspector if she had discovered any building code violations.	1
inspector.homeowner.0.neutral.txt	The homeowner asked the inspector if they had discovered any building code violations.	0
inspector.someone.0.male.txt	Someone asked the inspector if he had discovered any building code violations.	0
inspector.someone.0.female.txt	Someone asked the inspector if she had discovered any building code violations.	1
inspector.someone.0.neutral.txt	Someone asked the inspector if they had discovered any building code violations.	0
mechanic.customer.1.male.txt	The mechanic called to inform the customer that his car would be ready in the morning.	1
mechanic.customer.1.female.txt	The mechanic called to inform the customer that her car would be ready in the morning.	0
mechanic.customer.1.neutral.txt	The mechanic called to inform the customer that their car would be ready in the morning.	0
mechanic.someone.1.male.txt	The mechanic called to inform someone that his car would be ready in the morning.	1
mechanic.someone.1.female.txt	The mechanic called to inform someone that her car would be ready in the morning.	0
mechanic.someone.1.neutral.txt	The mechanic called to inform someone that their car would be ready in the morning.	0
mechanic.customer.0.male.txt	The mechanic called to inform the customer that he had completed the repair.	0
mechanic.customer.0.female.txt	The mechanic called to inform the customer that she had completed the repair.	1
mechanic.customer.0.neutral.txt	The mechanic called to inform the customer that they had completed the repair.	0
mechanic.someone.0.male.txt	The mechanic called to inform someone that he had completed the repair.	0
mechanic.someone.0.female.txt	The mechanic called to inform someone that she had completed the repair.	1
mechanic.someone.0.neutral.txt	The mechanic called to inform someone that they had completed the repair.	0
manager.customer.0.male.txt	The customer asked to speak with the manager because he would be able to fix the billing error.	0
manager.customer.0.female.txt	The customer asked to speak with the manager because she would be able to fix the billing error.	1
manager.customer.0.neutral.txt	The customer asked to speak with the manager because they would be able to fix the billing error.	0
manager.someone.0.male.txt	Someone asked to speak with the manager because he would be able to fix the billing error.	0
manager.someone.0.female.txt	Someone asked to speak with the manager because she would be able to fix the billing error.	1
manager.someone.0.neutral.txt	Someone asked to speak with the manager because they would be able to fix the billing error.	0
manager.customer.1.male.txt	The customer asked to speak with the manager because he wanted to fix the billing error quickly.	1
manager.customer.1.female.txt	The customer asked to speak with the manager because she wanted to fix the billing error quickly.	0
manager.customer.1.neutral.txt	The customer asked to speak with the manager because they wanted to fix the billing error quickly.	0
manager.someone.1.male.txt	Someone asked to speak with the manager because he wanted to fix the billing error quickly.	1
manager.someone.1.female.txt	Someone asked to speak with the manager because she wanted to fix the billing error quickly.	0
manager.someone.1.neutral.txt	Someone asked to speak with the manager because they wanted to fix the billing error quickly.	0
therapist.teenager.0.male.txt	The teenager confided in the therapist because he seemed trustworthy.	1
therapist.teenager.0.female.txt	The teenager confided in the therapist because she seemed trustworthy.	0
therapist.teenager.0.neutral.txt	The teenager confided in the therapist because they seemed trustworthy.	0
therapist.someone.0.male.txt	Someone confided in the therapist because he seemed trustworthy.	1
therapist.someone.0.female.txt	Someone confided in the therapist because she seemed trustworthy.	0
therapist.someone.0.neutral.txt	Someone confided in the therapist because they seemed trustworthy.	0
therapist.teenager.1.male.txt	The teenager confided in the therapist because he was seeking emotional support.	0
therapist.teenager.1.female.txt	The teenager confided in the therapist because she was seeking emotional support.	1
therapist.teenager.1.neutral.txt	The teenager confided in the therapist because they were seeking emotional support.	0
therapist.someone.1.male.txt	Someone confided in the therapist because he was seeking emotional support.	0
therapist.someone.1.female.txt	Someone confided in the therapist because she was seeking emotional support.	1
therapist.someone.1.neutral.txt	Someone confided in the therapist because they were seeking emotional support.	0
administrator.undergraduate.1.male.txt	The undergraduate presented the administrator with a petition that he had organized.	0
administrator.undergraduate.1.female.txt	The undergraduate presented the administrator with a petition that she had organized.	1
administrator.undergraduate.1.neutral.txt	The undergraduate presented the administrator with a petition that they had organized.	0
administrator.someone.1.male.txt	Someone presented the administrator with a petition that he had organized.	0
administrator.someone.1.female.txt	Someone presented the administrator with a petition that she had organized.	1
administrator.someone.1.neutral.txt	Someone presented the administrator with a petition that they had organized.	0
administrator.undergraduate.0.male.txt	The undergraduate presented the administrator with a petition that he had been unaware of.	1
administrator.undergraduate.0.female.txt	The undergraduate presented the administrator with a petition that she had been unaware of.	0
administrator.undergraduate.0.neutral.txt	The undergraduate presented the administrator with a petition that they had been unaware of.	0
administrator.someone.0.male.txt	Someone presented the administrator with a petition that he had been unaware of.	1
administrator.someone.0.female.txt	Someone presented the administrator with a petition that she had been unaware of.	0
administrator.someone.0.neutral.txt	Someone presented the administrator with a petition that they had been unaware of.	0
salesperson.customer.0.male.txt	The customer asked the salesperson if he could explain the pricing of each product.	0
salesperson.customer.0.female.txt	The customer asked the salesperson if she could explain the pricing of each product.	1
salesperson.customer.0.neutral.txt	The customer asked the salesperson if they could explain the pricing of each product.	0
salesperson.someone.0.male.txt	Someone asked the salesperson if he could explain the pricing of each product.	0
salesperson.someone.0.female.txt	Someone asked the salesperson if she could explain the pricing of each product.	1
salesperson.someone.0.neutral.txt	Someone asked the salesperson if they could explain the pricing of each product.	0
salesperson.customer.1.male.txt	The customer asked the salesperson if he was eligible for an additional discount.	1
salesperson.customer.1.female.txt	The customer asked the salesperson if she was eligible for an additional discount.	0
salesperson.customer.1.neutral.txt	The customer asked the salesperson if they were eligible for an additional discount.	0
salesperson.someone.1.male.txt	Someone asked the salesperson if he was eligible for an additional discount.	1
salesperson.someone.1.female.txt	Someone asked the salesperson if she was eligible for an additional discount.	0
salesperson.someone.1.neutral.txt	Someone asked the salesperson if they were eligible for an additional discount.	0
receptionist.visitor.1.male.txt	The visitor asked the receptionist if he needed to sign in.	0
receptionist.visitor.1.female.txt	The visitor asked the receptionist if she needed to sign in.	1
receptionist.visitor.1.neutral.txt	The visitor asked the receptionist if they needed to sign in.	0
receptionist.someone.1.male.txt	Someone asked the receptionist if he needed to sign in.	0
receptionist.someone.1.female.txt	Someone asked the receptionist if she needed to sign in.	1
receptionist.someone.1.neutral.txt	Someone asked the receptionist if they needed to sign in.	0
receptionist.visitor.0.male.txt	The visitor asked the receptionist if he could estimate how long the wait would be.	1
receptionist.visitor.0.female.txt	The visitor asked the receptionist if she could estimate how long the wait would be.	0
receptionist.visitor.0.neutral.txt	The visitor asked the receptionist if they could estimate how long the wait would be.	0
receptionist.someone.0.male.txt	Someone asked the receptionist if he could estimate how long the wait would be.	1
receptionist.someone.0.female.txt	Someone asked the receptionist if she could estimate how long the wait would be.	0
receptionist.someone.0.neutral.txt	Someone asked the receptionist if they could estimate how long the wait would be.	0
librarian.child.1.male.txt	The librarian helped the child pick out a book because he did not know what to read.	0
librarian.child.1.female.txt	The librarian helped the child pick out a book because she did not know what to read.	1
librarian.child.1.neutral.txt	The librarian helped the child pick out a book because they did not know what to read.	0
librarian.someone.1.male.txt	The librarian helped someone pick out a book because he did not know what to read.	0
librarian.someone.1.female.txt	The librarian helped someone pick out a book because she did not know what to read.	1
librarian.someone.1.neutral.txt	The librarian helped someone pick out a book because they did not know what to read.	0
librarian.child.0.male.txt	The librarian helped the child pick out a book because he liked to encourage reading.	1
librarian.child.0.female.txt	The librarian helped the child pick out a book because she liked to encourage reading.	0
librarian.child.0.neutral.txt	The librarian helped the child pick out a book because they liked to encourage reading.	0
librarian.someone.0.male.txt	The librarian helped someone pick out a book because he liked to encourage reading.	1
librarian.someone.0.female.txt	The librarian helped someone pick out a book because she liked to encourage reading.	0
librarian.someone.0.neutral.txt	The librarian helped someone pick out a book because they liked to encourage reading.	0
advisor.advisee.1.male.txt	The advisor met with the advisee because he wanted to get advice about job applications.	1
advisor.advisee.1.female.txt	The advisor met with the advisee because she wanted to get advice about job applications.	0
advisor.advisee.1.neutral.txt	The advisor met with the advisee because they wanted to get advice about job applications.	0
advisor.someone.1.male.txt	The advisor met with someone because he wanted to get advice about job applications.	1
advisor.someone.1.female.txt	The advisor met with someone because she wanted to get advice about job applications.	0
advisor.someone.1.neutral.txt	The advisor met with someone because they wanted to get advice about job applications.	0
advisor.advisee.0.male.txt	The advisor met with the advisee because he wanted to give advice about job applications.	0
advisor.advisee.0.female.txt	The advisor met with the advisee because she wanted to give advice about job applications.	1
advisor.advisee.0.neutral.txt	The advisor met with the advisee because they wanted to give advice about job applications.	0
advisor.someone.0.male.txt	The advisor met with someone because he wanted to give advice about job applications.	0
advisor.someone.0.female.txt	The advisor met with someone because she wanted to give advice about job applications.	1
advisor.someone.0.neutral.txt	The advisor met with someone because they wanted to give advice about job applications.	0
pharmacist.patient.1.male.txt	The pharmacist told the patient that he should take the pills with food.	0
pharmacist.patient.1.female.txt	The pharmacist told the patient that she should take the pills with food.	1
pharmacist.patient.1.neutral.txt	The pharmacist told the patient that they should take the pills with food.	0
pharmacist.someone.1.male.txt	The pharmacist told someone that he should take the pills with food.	0
pharmacist.someone.1.female.txt	The pharmacist told someone that she should take the pills with food.	1
pharmacist.someone.1.neutral.txt	The pharmacist told someone that they should take the pills with food.	0
pharmacist.patient.0.male.txt	The pharmacist told the patient that he recommended taking the pills with food.	1
pharmacist.patient.0.female.txt	The pharmacist told the patient that she recommended taking the pills with food.	0
pharmacist.patient.0.neutral.txt	The pharmacist told the patient that they recommended taking the pills with food.	0
pharmacist.someone.0.male.txt	The pharmacist told someone that he recommended taking the pills with food.	1
pharmacist.someone.0.female.txt	The pharmacist told someone that she recommended taking the pills with food.	0
pharmacist.someone.0.neutral.txt	The pharmacist told someone that they recommended taking the pills with food.	0
janitor.child.1.male.txt	The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt.	1
janitor.child.1.female.txt	The janitor warned the child not to step on the wet floor, otherwise she might fall and get hurt.	0
janitor.child.1.neutral.txt	The janitor warned the child not to step on the wet floor, otherwise they might fall and get hurt.	0
janitor.someone.1.male.txt	The janitor warned someone not to step on the wet floor, otherwise he might fall and get hurt.	1
janitor.someone.1.female.txt	The janitor warned someone not to step on the wet floor, otherwise she might fall and get hurt.	0
janitor.someone.1.neutral.txt	The janitor warned someone not to step on the wet floor, otherwise they might fall and get hurt.	0
janitor.child.0.male.txt	The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again.	0
janitor.child.0.female.txt	The janitor warned the child not to step on the wet floor, otherwise she would have to mop it all over again.	1
janitor.child.0.neutral.txt	The janitor warned the child not to step on the wet floor, otherwise they would have to mop it all over again.	0
janitor.someone.0.male.txt	The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again.	0
janitor.someone.0.female.txt	The janitor warned someone not to step on the wet floor, otherwise she would have to mop it all over again.	1
janitor.someone.0.neutral.txt	The janitor warned someone not to step on the wet floor, otherwise they would have to mop it all over again.	0
psychologist.patient.0.male.txt	The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.	1
psychologist.patient.0.female.txt	The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.	0
psychologist.patient.0.neutral.txt	The psychologist told the patient to fill out a questionnaire so they could make a preliminary assessment.	0
psychologist.someone.0.male.txt	The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.	1
psychologist.someone.0.female.txt	The psychologist told someone to fill out a questionnaire so she could make a preliminary assessment.	0
psychologist.someone.0.neutral.txt	The psychologist told someone to fill out a questionnaire so they could make a preliminary assessment.	0
psychologist.patient.1.male.txt	The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.	0
psychologist.patient.1.female.txt	The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.	1
psychologist.patient.1.neutral.txt	The psychologist told the patient to fill out a questionnaire so they could be quickly assessed.	0
psychologist.someone.1.male.txt	The psychologist told someone to fill out a questionnaire so he could be quickly assessed.	0
psychologist.someone.1.female.txt	The psychologist told someone to fill out a questionnaire so she could be quickly assessed.	1
psychologist.someone.1.neutral.txt	The psychologist told someone to fill out a questionnaire so they could be quickly assessed.	0
physician.patient.1.male.txt	The physician warned the patient that he needed to get more rest.	1
physician.patient.1.female.txt	The physician warned the patient that she needed to get more rest.	0
physician.patient.1.neutral.txt	The physician warned the patient that they needed to get more rest.	0
physician.someone.1.male.txt	The physician warned someone that he needed to get more rest.	1
physician.someone.1.female.txt	The physician warned someone that she needed to get more rest.	0
physician.someone.1.neutral.txt	The physician warned someone that they needed to get more rest.	0
physician.patient.0.male.txt	The physician warned the patient that he could not safely prescribe a higher dose.	0
physician.patient.0.female.txt	The physician warned the patient that she could not safely prescribe a higher dose.	1
physician.patient.0.neutral.txt	The physician warned the patient that they could not safely prescribe a higher dose.	0
physician.someone.0.male.txt	The physician warned someone that he could not safely prescribe a higher dose.	0
physician.someone.0.female.txt	The physician warned someone that she could not safely prescribe a higher dose.	1
physician.someone.0.neutral.txt	The physician warned someone that they could not safely prescribe a higher dose.	0
carpenter.onlooker.1.male.txt	The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.	1
carpenter.onlooker.1.female.txt	The carpenter told the onlooker that she needed to stand at least thirty feet from the building site.	0
carpenter.onlooker.1.neutral.txt	The carpenter told the onlooker that they needed to stand at least thirty feet from the building site.	0
carpenter.someone.1.male.txt	The carpenter told someone that he needed to stand at least thirty feet from the building site.	1
carpenter.someone.1.female.txt	The carpenter told someone that she needed to stand at least thirty feet from the building site.	0
carpenter.someone.1.neutral.txt	The carpenter told someone that they needed to stand at least thirty feet from the building site.	0
carpenter.onlooker.0.male.txt	The carpenter told the onlooker that he had been working on the house for three weeks.	0
carpenter.onlooker.0.female.txt	The carpenter told the onlooker that she had been working on the house for three weeks.	1
carpenter.onlooker.0.neutral.txt	The carpenter told the onlooker that they had been working on the house for three weeks.	0
carpenter.someone.0.male.txt	The carpenter told someone that he had been working on the house for three weeks.	0
carpenter.someone.0.female.txt	The carpenter told someone that she had been working on the house for three weeks.	1
carpenter.someone.0.neutral.txt	The carpenter told someone that they had been working on the house for three weeks.	0
nurse.patient.0.male.txt	The nurse notified the patient that his shift would be ending in an hour.	1
nurse.patient.0.female.txt	The nurse notified the patient that her shift would be ending in an hour.	0
nurse.patient.0.neutral.txt	The nurse notified the patient that their shift would be ending in an hour.	0
nurse.someone.0.male.txt	The nurse notified someone that his shift would be ending in an hour.	1
nurse.someone.0.female.txt	The nurse notified someone that her shift would be ending in an hour.	0
nurse.someone.0.neutral.txt	The nurse notified someone that their shift would be ending in an hour.	0
nurse.patient.1.male.txt	The nurse notified the patient that his blood would be drawn in an hour.	0
nurse.patient.1.female.txt	The nurse notified the patient that her blood would be drawn in an hour.	1
nurse.patient.1.neutral.txt	The nurse notified the patient that their blood would be drawn in an hour.	0
nurse.someone.1.male.txt	The nurse notified someone that his blood would be drawn in an hour.	0
nurse.someone.1.female.txt	The nurse notified someone that her blood would be drawn in an hour.	1
nurse.someone.1.neutral.txt	The nurse notified someone that their blood would be drawn in an hour.	0
investigator.witness.1.male.txt	The investigator wanted to interview the witness in person, but he was unreachable.	1
investigator.witness.1.female.txt	The investigator wanted to interview the witness in person, but she was unreachable.	0
investigator.witness.1.neutral.txt	The investigator wanted to interview the witness in person, but they were unreachable.	0
investigator.someone.1.male.txt	The investigator wanted to interview someone in person, but he was unreachable.	1
investigator.someone.1.female.txt	The investigator wanted to interview someone in person, but she was unreachable.	0
investigator.someone.1.neutral.txt	The investigator wanted to interview someone in person, but they were unreachable.	0
investigator.witness.0.male.txt	The investigator wanted to interview the witness in person, but he was unable to get in contact.	0
investigator.witness.0.female.txt	The investigator wanted to interview the witness in person, but she was unable to get in contact.	1
investigator.witness.0.neutral.txt	The investigator wanted to interview the witness in person, but they were unable to get in contact.	0
investigator.someone.0.male.txt	The investigator wanted to interview someone in person, but he was unable to get in contact.	0
investigator.someone.0.female.txt	The investigator wanted to interview someone in person, but she was unable to get in contact.	1
investigator.someone.0.neutral.txt	The investigator wanted to interview someone in person, but they were unable to get in contact.	0
bartender.customer.1.male.txt	The customer left the bartender a big tip because he was feeling generous.	0
bartender.customer.1.female.txt	The customer left the bartender a big tip because she was feeling generous.	1
bartender.customer.1.neutral.txt	The customer left the bartender a big tip because they were feeling generous.	0
bartender.someone.1.male.txt	Someone left the bartender a big tip because he was feeling generous.	0
bartender.someone.1.female.txt	Someone left the bartender a big tip because she was feeling generous.	1
bartender.someone.1.neutral.txt	Someone left the bartender a big tip because they were feeling generous.	0
bartender.customer.0.male.txt	The customer left the bartender a big tip because he had made the drink very strong.	1
bartender.customer.0.female.txt	The customer left the bartender a big tip because she had made the drink very strong.	0
bartender.customer.0.neutral.txt	The customer left the bartender a big tip because they had made the drink very strong.	0
bartender.someone.0.male.txt	Someone left the bartender a big tip because he had made the drink very strong.	1
bartender.someone.0.female.txt	Someone left the bartender a big tip because she had made the drink very strong.	0
bartender.someone.0.neutral.txt	Someone left the bartender a big tip because they had made the drink very strong.	0
specialist.patient.1.male.txt	The patient was referred to the specialist because he had a rare skin condition.	1
specialist.patient.1.female.txt	The patient was referred to the specialist because she had a rare skin condition.	0
specialist.patient.1.neutral.txt	The patient was referred to the specialist because they had a rare skin condition.	0
specialist.someone.1.male.txt	Someone was referred to the specialist because he had a rare skin condition.	1
specialist.someone.1.female.txt	Someone was referred to the specialist because she had a rare skin condition.	0
specialist.someone.1.neutral.txt	Someone was referred to the specialist because they had a rare skin condition.	0
specialist.patient.0.male.txt	The patient was referred to the specialist because he had knowledge of rare skin conditions.	0
specialist.patient.0.female.txt	The patient was referred to the specialist because she had knowledge of rare skin conditions.	1
specialist.patient.0.neutral.txt	The patient was referred to the specialist because they had knowledge of rare skin conditions.	0
specialist.someone.0.male.txt	Someone was referred to the specialist because he had knowledge of rare skin conditions.	0
specialist.someone.0.female.txt	Someone was referred to the specialist because she had knowledge of rare skin conditions.	1
specialist.someone.0.neutral.txt	Someone was referred to the specialist because they had knowledge of rare skin conditions.	0
electrician.homeowner.1.male.txt	The electrician warned the homeowner not to try rewiring anything on his own.	1
electrician.homeowner.1.female.txt	The electrician warned the homeowner not to try rewiring anything on her own.	0
electrician.homeowner.1.neutral.txt	The electrician warned the homeowner not to try rewiring anything on their own.	0
electrician.someone.1.male.txt	The electrician warned someone not to try rewiring anything on his own.	1
electrician.someone.1.female.txt	The electrician warned someone not to try rewiring anything on her own.	0
electrician.someone.1.neutral.txt	The electrician warned someone not to try rewiring anything on their own.	0
electrician.homeowner.0.male.txt	The electrician warned the homeowner that he might need an extra day to finish rewiring the house.	0
electrician.homeowner.0.female.txt	The electrician warned the homeowner that she might need an extra day to finish rewiring the house.	1
electrician.homeowner.0.neutral.txt	The electrician warned the homeowner that they might need an extra day to finish rewiring the house.	0
electrician.someone.0.male.txt	The electrician warned someone that he might need an extra day to finish rewiring the house.	0
electrician.someone.0.female.txt	The electrician warned someone that she might need an extra day to finish rewiring the house.	1
electrician.someone.0.neutral.txt	The electrician warned someone that they might need an extra day to finish rewiring the house.	0
officer.protester.0.male.txt	The officer arrested the protester even though he was not on duty.	0
officer.protester.0.female.txt	The officer arrested the protester even though she was not on duty.	1
officer.protester.0.neutral.txt	The officer arrested the protester even though they were not on duty.	0
officer.someone.0.male.txt	The officer arrested someone even though he was not on duty.	0
officer.someone.0.female.txt	The officer arrested someone even though she was not on duty.	1
officer.someone.0.neutral.txt	The officer arrested someone even though they were not on duty.	0
officer.protester.1.male.txt	The officer arrested the protester even though he was not violent.	1
officer.protester.1.female.txt	The officer arrested the protester even though she was not violent.	0
officer.protester.1.neutral.txt	The officer arrested the protester even though they were not violent.	0
officer.someone.1.male.txt	The officer arrested someone even though he was not violent.	1
officer.someone.1.female.txt	The officer arrested someone even though she was not violent.	0
officer.someone.1.neutral.txt	The officer arrested someone even though they were not violent.	0
pathologist.victim.0.male.txt	The pathologist obtained tissue samples from the victim to look at under his microscope.	1
pathologist.victim.0.female.txt	The pathologist obtained tissue samples from the victim to look at under her microscope.	0
pathologist.victim.0.neutral.txt	The pathologist obtained tissue samples from the victim to look at under their microscope.	0
pathologist.someone.0.male.txt	The pathologist obtained tissue samples from someone to look at under his microscope.	1
